SpeciesID	Subfamily	Genus	Species	CName	PaperID	StorageYN	StorageType	Resource	MobilityYN	MobilityType	HabitatType	Invasive	LorF
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	27WOS(AR)01				Y	A		N	F
MYSOIN	Myrmicinae	Solenopsis	invicta	Red Imported Fire Ant	27WOS(AR)11	Y	E	Sausage				Y	L
FOFOPO01	Formicinae	Formica	polyctena	Red wood ant	27WOS(AR)10				Y	A		N	F
MYMYSC	Myrmicinae	Myrmica	scabrinodis		27WOS(AR)09				Y	A	Wet Meadows	N	L
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	27WOS(AR)08				Y	A		N	L
PONEVI	Ponerinae	Neoponera	villosa		27WOS(AR)06				Y	A	Wet and Dry Forests	N	L
MYAPIB	Myrmicinae	Aphaenogaster	iberica 		27WOS(AR)05				Y	I		N	F
MYPOSA	Myrmicinae	Pogonomyrmex	salinus	Owyhee Harvester Ant	27WOS(AR)04				Y	A	Sagebrush-Steppe	N	F
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)01				Y	A		N	L
FOCAJA	Formicinae	Camponotus	japonicus		29WOS(AR)02				Y	U		N	L
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)04				Y	A		N	L
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)06				Y	A		N	L
MYPOBA01	Myrmicinae	Pogonomyrmex	badius	Florida harvester ant	29WOS(AR)08				Y	I	Sandhills	N	F
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)09				Y	A		N	L
MYTECR	Myrmicinae	Temnothorax	crassispinus		29WOS(AR)10				Y	U			L
MYPOBA01	Myrmicinae	Pogonomyrmex	badius	Florida harvester ant	29WOS(AR)13	Y	E	Seeds	Y	I		N	F
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)14				Y	A		N	L
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)16				Y	A		N	L
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)17				N			N	F
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)17				Y	A		N	L
MYVEAN	Myrmicinae	Veromessor	andrei	true harvester ant	29WOS(AR)19				Y	I	Chaparral, Serpentine Grassland	N	F
MYTECU	Myrmicinae	Temnothorax	curvispinosus	acorn ant	29WOS(AR)23				Y	A		N	L
MYTELO	Myrmicinae	Temnothorax	longispinosus	acorn ant	29WOS(AR)23				Y	A		N	L
MYPOBA01	Myrmicinae	Pogonomyrmex	badius	Florida harvester ant	29WOS(AR)24				Y	I	Sandhills	N	F
FOFOSU01	Formicinae	Formica	subintegra		29WOS(AR)26				Y	I		N	F
FOFOPE	Formicinae	Formica	pergandei		29WOS(AR)26				Y	I		N	F
DOLIHU	Dolichoderinae	Linepithema	humile	Argentine ant	29WOS(AR)28				Y	A		Y	L
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)29				Y	A		N	L
FOPHDE	Formicinae	Pheidole	dentata		29WOS(AR)30				Y	I	Mixed juniper-oak forest	N	F
MYPOBA02	Myrmicinae	Pogonomyrmex	barbatus	harvester ant	29WOS(AR)32				Y	I		N	F
MYMYNI	Myrmicinae	Myrmecina	nipponica		29WOS(AR)33				Y	I	Broadleaf forest	N	L
AMMYOB	Amblyoponinae	Mystrium	oberthueri		29WOS(AR)35				Y	A	Primary rainforest	N	L
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	29WOS(AR)36				Y	A		N	L
MYPOBA01	Myrmicinae	Pogonomyrmex	badius	Florida harvester ant	29WOS(AR)37				Y	I	Sandhills	N	F
MYATSE	Myrmicinae	Atta	sexdens	Leafcutter ant	30WOS(AR)02				Y	A	Secondary tropical forest	N	F
MYATSE	Myrmicinae	Atta	sexdens	Leafcutter ant	30WOS(AR)02				N		Secondary tropical forest	N	F
MYMYNI	Myrmicinae	Myrmecina	nipponica		30WOS(AR)03				Y	A	Broadleaf forest	N	L
MYACHE	Myrmicinae	Acromyrmex	heyeri		30WOS(AR)04				Y	A		N	F
PODIIN	Ponerinae	Diacamma	indicum	Indian queenless ant	30WOS(AR)05				Y	A		N	F
MYAPSE	Myrmicinae	Aphaenogaster	senilis	Gypsy ant	30WOS(AR)07				Y	I	Sandy	N	F
MYTENY	Myrmicinae	Temnothorax	nylanderi		30WOS(AR)08				N			N	L
DOECBU	Dorylinae	Eciton	burchellii	Army ant	31WOS(AR)01				Y	N	Old growth and secondary tropical rain forest	N	F
DODONI01	Dorylinae	Dorylus	nigricans molestus	African army ant	31WOS(AR)02				Y	N	Montane forest and Agricultural Areas	N	F
MYAPAR	Myrmicinae	Aphaenogaster	araneoides	Gypsy ant	31WOS(AR)06				Y	I	Old growth tropical rain forest	N	F
MYMOPH	Myrmicinae	Monomorium	pharaonis	Pharaoh ant	31WOS(AR)04				Y	A		Y	L
ECECRU	Ectatomminae	Ectatomma	ruidum		31WOS(AR)07				Y	I		N	F
FOCAPE	Formicinae	Camponotus	pennsylvanicus	Black carpenter ant	31WOS(AR)09				Y	I	Managed urban landscape	N	F
DOLIHU	Dolichoderinae	Linepithema	humile	Argentine ants	31WOS(AR)12				Y	A		Y	L
DOTASE	Dolichoderinae	Tapinoma	sessile	Odorous house ants	31WOS(AR)12				Y	A		N	L
AMONHE	Amblyoponinae	Onychomyrmex	hedleyi	Poneromorph hunting ant	31WOS(AR)15				Y	N	Rainforest 	N	F
MYAPSE	Myrmicinae	Aphaenogaster	senilis	Gypsy ant	31WOS(AR)13				Y	A		N	L
FOCAIB	Formicinae	Cataglyphis	iberica		31WOS(AR)18				Y	I		N	F
MYAPAR	Myrmicinae	Aphaenogaster	araneoides		31WOS(AR)19				Y	I	Lowland tropical rainforest	N	F
DODONI01	Dorylinae	Dorylus	nigricans molestus	Army ant	31WOS(AR)22				Y	N		N	F
MYVEAN	Myrmicinae	Veromessor	andrei	Black Harvester Ant	31WOS(AR)23				Y	I	Grassland	N	F
MYMOPH	Myrmicinae	Monomorium	pharaonis	Pharaoh ant 	31WOS(AR)24				Y	A			L
DOECBU	Dorylinae	Eciton	burchellii	Army ant	31WOS(AR)25				Y	N	Cloud Forest	N	F
MYMYPU	Myrmicinae	Myrmica	punctiventris		31WOS(AR)26				Y	I	Deciduous Forest	N	F
PONEOB	Ponerinae	Neoponera	obscuricornis		31WOS(AR)27				Y	A		N	L
MYTEAL	Myrmicinae	Temnothorax	albipennis		31WOS(AR)29				Y	I		N	L
MYAPAR	Myrmicinae	Aphaenogaster	araneoides		31WOS(AR)28				Y	I		N	F
FOCABI	Formicinae	Cataglyphis	bicolor		31WOS(AR)30				N		Shrub desert	N	F
FOCAFO	Formicinae	Cataglyphis	fortis		31WOS(AR)30				Y	U	Salty coastal plain	N	F
FOPOAM	Formicinae	Polyrhachis	ammon	Golden spiny ant	31WOS(AR)31				Y	I	Sandstone outcrops with pockets of heath	N	F
MYAPAR	Myrmicinae	Aphaenogaster	araneoides		31WOS(AR)33				Y	I	Lowland wet forests	N	F
FOPOLO	Formicinae	Polyrhachis	loweryi		31WOS(AR)35				Y	A		N	L
FOCAIB	Formicinae	Cataglyphis	iberica		31WOS(AR)36				Y	I		N	F
ECRHME	Ectatomminae	Rhytidoponera	metallica		31WOS(AR)38				Y	I		N	F
ECRHME	Ectatomminae	Rhytidoponera	metallica		31WOS(AR)38				Y	I		N	L
ECECOP	Ectatomminae	Ectatomma	opaciventre		31WOS(AR)40				Y	A		N	L
