spID	SpeciesID	Subfamily	Genus	Species	StorageYN	StorageType	Resource	MobilityYN	MobilityType
14PODIIN	PODIIN	Ponerinae	Diacamma	indicum					
06MYSOIN	MYSOIN	Myrmicinae	Solenopsis	invicta					
01FOFOPO01	FOFOPO01	Formicinae	Formica	polyctena				Y	A
01PONEVI	PONEVI	Ponerinae	Neoponera	villosa				Y	A
01MYAPIB	MYAPIB	Myrmicinae	Aphaenogaster	iberica				Y	I
01MYPOSA	MYPOSA	Myrmicinae	Pogonomyrmex	salinus				Y	A
01FOCAJA	FOCAJA	Formicinae	Camponotus	japonicus				Y	U
07MYPOBA01	MYPOBA01	Myrmicinae	Pogonomyrmex	badius	Y	E	Seeds	Y	I
01MYTECR	MYTECR	Myrmicinae	Temnothorax	crassispinus				Y	U
03MYVEAN	MYVEAN	Myrmicinae	Veromessor	andrei				Y	I
04MYTECU	MYTECU	Myrmicinae	Temnothorax	curvispinosus				Y	A
01MYTELO	MYTELO	Myrmicinae	Temnothorax	longispinosus				Y	A
01FOFOSU01	FOFOSU01	Formicinae	Formica	subintegra				Y	I
01FOFOPE	FOFOPE	Formicinae	Formica	pergandei				Y	I
04DOLIHU	DOLIHU	Dolichoderinae	Linepithema	humile				Y	
01FOPHDE	FOPHDE	Formicinae	Pheidole	dentata				Y	I
02MYPOBA02	MYPOBA02	Myrmicinae	Pogonomyrmex	barbatus				Y	I
03MYMYNI	MYMYNI	Myrmicinae	Myrmecina	nipponica				Y	
02AMMYOB	AMMYOB	Amblyoponinae	Mystrium	oberthueri				Y	A
06MYATSE	MYATSE	Myrmicinae	Atta	sexdens					
02MYACHE	MYACHE	Myrmicinae	Acromyrmex	heyeri	Y	E	Farmed Fungus	Y	A
02MYAPSE	MYAPSE	Myrmicinae	Aphaenogaster	senilis				Y	
01MYTENY	MYTENY	Myrmicinae	Temnothorax	nylanderi				N	
11DOECBU	DOECBU	Dorylinae	Eciton	burchellii				Y	N
03DODONI01	DODONI01	Dorylinae	Dorylus	nigricans molestus				Y	N
04MYAPAR	MYAPAR	Myrmicinae	Aphaenogaster	araneoides				Y	I
06MYMOPH	MYMOPH	Myrmicinae	Monomorium	pharaonis	Y			Y	A
01ECECRU	ECECRU	Ectatomminae	Ectatomma	ruidum				Y	I
01FOCAPE	FOCAPE	Formicinae	Camponotus	pennsylvanicus				Y	I
02DOTASE	DOTASE	Dolichoderinae	Tapinoma	sessile				Y	
02AMONHE	AMONHE	Amblyoponinae	Onychomyrmex	hedleyi				Y	N
02FOCAIB	FOCAIB	Formicinae	Cataglyphis	iberica				Y	I
01MYMYPU	MYMYPU	Myrmicinae	Myrmica	punctiventris				Y	I
01PONEOB	PONEOB	Ponerinae	Neoponera	obscuricornis				Y	A
15MYTEAL	MYTEAL	Myrmicinae	Temnothorax	albipennis	Y	I	Fat/Lipid/Honey Solution and Drosophila	Y	
01FOCABI	FOCABI	Formicinae	Cataglyphis	bicolor				N	
01FOCAFO	FOCAFO	Formicinae	Cataglyphis	fortis				Y	U
01FOPOAM	FOPOAM	Formicinae	Polyrhachis	ammon				Y	I
01FOPOLO	FOPOLO	Formicinae	Polyrhachis	loweryi				Y	A
01ECRHME	ECRHME	Ectatomminae	Rhytidoponera	metallica				Y	I
01ECECOP	ECECOP	Ectatomminae	Ectatomma	opaciventre				Y	A
01FOPRLO	FOPRLO	Formicinae	Proformica	longiseta				Y	
02MYPRPU	MYPRPU	Myrmicinae	Pristomyrmex	punctatus				Y	
