SpeciesID	Subfamily	Genus	Species	NumberMeta	WOSresults	Sresults	AveResults	Rank
PODIIN	Ponerinae	Diacamma	indicum	14	23	23	23	LOW
MYSOIN	Myrmicinae	Solenopsis	invicta	6	2294	1700	1997	HIGH
FOFOPO01	Formicinae	Formica	polyctena	1	357	307	332	HIGH
PONEVI	Ponerinae	Neoponera	villosa	1	33	29	31	LOW
MYAPIB	Myrmicinae	Aphaenogaster	iberica	1	17	13	15	LOW
MYPOSA	Myrmicinae	Pogonomyrmex	salinus	1	26	18	22	LOW
FOCAJA	Formicinae	Camponotus	japonicus	1	88	74	81	MEDIUM
MYPOBA01	Myrmicinae	Pogonomyrmex	badius	7	82	60	71	MEDIUM
MYTECR	Myrmicinae	Temnothorax	crassispinus	1	27	28	27.5	LOW
MYVEAN	Myrmicinae	Veromessor	andrei	3	5	7	6	LOW
MYTECU	Myrmicinae	Temnothorax	curvispinosus	4	28	24	26	LOW
MYTELO	Myrmicinae	Temnothorax	longispinosus	1	37	36	36.5	LOW
FOFOSU01	Formicinae	Formica	subintegra	1	5	6	5.5	LOW
FOFOPE	Formicinae	Formica	pergandei	1	8	6	7	LOW
DOLIHU	Dolichoderinae	Linepithema	humile	4	731	684	707.5	HIGH
FOPHDE	Formicinae	Pheidole	dentata	1	62	36	49	LOW
MYPOBA02	Myrmicinae	Pogonomyrmex	barbatus	2	138	148	143	HIGH
MYMYNI	Myrmicinae	Myrmecina	nipponica	3	19	20	19.5	LOW
AMMYOB	Amblyoponinae	Mystrium	oberthueri	2	5	5	5	LOW
MYATSE	Myrmicinae	Atta	sexdens	6	420	376	398	HIGH
MYACHE	Myrmicinae	Acromyrmex	heyeri	2	23	24	23.5	LOW
MYAPSE	Myrmicinae	Aphaenogaster	senilis	2	80	70	75	MEDIUM
MYTENY	Myrmicinae	Temnothorax	nylanderi	1	34	34	34	LOW
DOECBU	Dorylinae	Eciton	burchellii	11	65	60	62.5	MEDIUM
DODONI01	Dorylinae	Dorylus	nigricans molestus	3	2	2	2	LOW
MYAPAR	Myrmicinae	Aphaenogaster	araneoides	4	7	8	7.5	LOW
MYMOPH	Myrmicinae	Monomorium	pharaonis	6	206	252	229	HIGH
ECECRU	Ectatomminae	Ectatomma	ruidum	1	97	74	85.5	MEDIUM
FOCAPE	Formicinae	Camponotus	pennsylvanicus	1	67	66	66.5	MEDIUM
DOTASE	Dolichoderinae	Tapinoma	sessile	2	47	58	52.5	MEDIUM
AMONHE	Amblyoponinae	Onychomyrmex	hedleyi	2	2	2	2	LOW
FOCAIB	Formicinae	Cataglyphis	iberica	2	41	16	28.5	LOW
MYMYPU	Myrmicinae	Myrmica	punctiventris	1	20	18	19	LOW
PONEOB	Ponerinae	Neoponera	obscuricornis	1	3	2	2.5	LOW
MYTEAL	Myrmicinae	Temnothorax	albipennis	15	79	77	78	MEDIUM
FOCABI	Formicinae	Cataglyphis	bicolor	1	132	75	103.5	HIGH
FOCAFO	Formicinae	Cataglyphis	fortis	1	175	92	133.5	HIGH
FOPOAM	Formicinae	Polyrhachis	ammon	1	2	2	2	LOW
FOPOLO	Formicinae	Polyrhachis	loweryi	1	1	1	1	LOW
ECRHME	Ectatomminae	Rhytidoponera	metallica	1	40	46	43	LOW
ECECOP	Ectatomminae	Ectatomma	opaciventre	1	9	5	7	LOW
FOPRLO	Formicinae	Proformica	longiseta	1	25	22	23.5	LOW
MYPRPU	Myrmicinae	Pristomyrmex	punctatus	2	29	30	29.5	LOW
MYAPRU	Myrmicinae	Aphaenogaster	rudis	1	57	64	60.5	MEDIUM
FOFOSU02	Formicinae	Formica	subsericea	1	28	33	30.5	LOW
FOFOPA	Formicinae	Formica	pallidefulva	1	7	6	6.5	LOW
FOFODI	Formicinae	Formica	difficilis	1	0	0	0	LOW
DONENI	Dorylinae	Neivamyrmex	nigrescens	5	17	22	19.5	LOW
DOECHA	Dorylinae	Eciton	hamatum	6	17	20	18.5	LOW
POPLMO	Ponerinae	Platythyrea	modesta	1	4	3	3.5	LOW
DOLENO	Dorylinae	Leptanilloides	nomadus	1	0	0	0	LOW
DOLENU	Dorylinae	Leptanilloides	nubecula	1	1	1	1	LOW
DOECDU	Dorylinae	Eciton	dulcium	2	0	3	1.5	LOW
DOECME	Dorylinae	Eciton	mexicanum	2	4	7	5.5	LOW
